size type tissue  Name 
SRR13389805 Small_breed single_end testes Papillon
SRR13389807 Small_breed single_end testes Bichon_frise
SRR13389809 Small_breed single_end testes Maltese
SRR13389815 Large_breed single_end testes Labrador_retriever
SRR13389817 Large_breed single_end testes Irish_wolfhound
SRR13389818 Small_breed single_end testes Havanese
SRR13389820 Large_breed single_end testes Golden_retriever
SRR13389824 Large_breed single_end testes German_shepherd
SRR13389834 Small_breed single_end testes Yorkshire_terrier
SRR13389840 Large_breed single_end testes Weimaraner
SRR13389841 Small_breed single_end testes Border_terrier
SRR13389849 Large_breed single_end testes Rottweiler
